holderAddress,balance
0xb96160EC5a72762a5B9d8C7e78079BF605cBD385,3
0x30de9E8Df95741b98A01C914dcDA684A346110d5,0
0xd6Ad489C4911EbdF2B3643B07188eB99451ed355,0
0xE968a888792b3c6ca4242a87445e2518F88F2e02,0
0xA55E8f346a2E48045F0418AAe297aae166F614ce,0
0xF2CA1889D979A3B1cCfAA6c1B5C49944c4058E9a,455660482
0x72852e41fFAbE7dd033DcD3739127c8F7b911FaC,0
0x580A5b2f32bD14af9da1e01ef41fEB754f78c350,5
0xB376ba77FaAf74CA93E3a75F7f61d2e76B1F73A9,0
0x2D0e9e8197c541704EAd0AEB35Ef5F03dC35bC6D,0
0xeA7bc0be8980ACfAA0775daDC9ecA779Df8d1BEC,0
0xf86a8847598d74DbcBc1120Bb807A3c19f684D29,0
0xe0713369988fb5Bb55438b630439F0c1A2CceB30,5
0xa84E43Ba55192C79634E02599b2F977B4C5f3035,2
0xC33144CD664C9411c4165E492f0912CCDa20DDB0,1
0x3A5955A0c428Ed1cC64061b078aB39e5c6C272f5,6
0x7118AcF304b6673D609250850f7392a7c5276221,0
0xD3eADbb102039e493767a9fC20f0F8f0FBA81571,0
0x5EFf0abd2d320dafCb34981fC3486E8a1dC9a348,6
0xDdA053222d47f7dE64861A7DB7FCf760F5E4Dfd0,3
0x2E604e03d0b90E8aA058Bb8bb6313e749606832c,8
0x9E9b562db75518E58604BE2eA6d43973646bE43E,7
0x7462b0cEB40c37dA9E93718a4215881c9A8a797a,0
0xF084954aFB3BDE45fc5785fD6037F971fFC953D2,0
0xA309e549A70F2Aa1b6A403b5364E00517a645EaD,0
0x3B7de0CBc5a48433AFB6789Ef7F598F0385382b7,0
0x28d8D5350223529d9DB8cBc76682BABcAe086272,10663359992
0x72A79FFe8E80DB4d12368203bba62A08e8948d87,0
0x281405246DA3BBfB95B44828eeDc0b553CCf59ea,8
0x4c1BB7635d7ceCa02FF8121A737bf4aE6DCf45F1,9
0xbd81840C7fE0467ee19718dE7245262dF711E9c7,3
0x331aD10258B6C3c0A0515d483698f6ED1758aF72,9
0x3038428B55E18346b43c36ACc98eE6bA61B4a6c8,6
0x24112123AB693E23e6E84B6c85f6ccb71CB9EE34,0
0xf4E14d778c2dbD6fd1A04F08721941Eb3E1c9d6C,0
0x2444d897a953B6235271DEC1c33b28840A2e7243,0
0xBe27BaBbf4E126b249Dd95781C5E6FC44474691B,2
0xe615ebBa1428Da439F73CA599B53d88B2226a07D,0
0x8D8690c80d9903C5b27324186Cc10b034B2AFbAb,0
0xc2cabb33AD896375Cc6BD686DBc70030Ebc5cf4D,0
0x76559883771754a942e2D9eADD899dCD2AF85A30,0
0xb6321C5E3D0A97B8d4218BC15Ec95bD8D1F7d639,7
0x30FdEf315d0f2e1289E80469b8c379B10C404a7c,1
0xa5101Aa3a5b61D37398AdcBd74C5075F8a8231fA,5
0x82D235f53f18560B4Df593870E3Bf7984331d58D,6
0x4AC9421D71a21ADE9Eb457a67541e27Ed6Fb95c3,7
0x40e5AdAF117925Dca91d537cDB354f63C808cD1a,0
0x6997a634d1C22CDfDFaEeA99B3884d9Ab70bD90E,0
0x9BA6df247EfcA09D9546a1a1eD467B25F3793e1c,0
0x7B8B540ec34c465169164fd87412E44152f23400,0
0xa7c7D4A49c3e4E5F783c56a95fB3D9600965E991,0
0x3Db1a02aD1a87cb078959B115b47B53300bcC0b8,0
0x917B303310BCa3cad7dcfbd13fC9079C465f1B75,2
0xf75cb24F3195ED6416e377d31b661aed23fCC8cB,0
0xE946edc3F4240d872f3bd24D0b103914D69aD159,1
0x5F1181a72D61913e63a2e1693259091196CC630B,1
0xcdaa7494c029833781C5957229243b3E4Ea5072D,11
0x9Fed225115A1374c7F0FaeF307D471c80fff1893,0
0xCc45bF968D82F3D68b713673bE7B3916D8A09001,0
0x5238F267a2aEbc4765BcE4C0eFfde4BC4F21134b,0
0x8246DD76d12a2b839fa36BEe3a83978648c476c4,0
0xb4824F548599daB98130c7946693C92B4BbC58B3,0
0xFB74d9B6f8439E391aa30AaEC7F98C44243dF229,1
0xf75984Cd8589B2B90B1911dB2d7037272b652766,0
0xB6478F66dEfff486e92722C1aE5873D663d8aF50,0
0x5B5E2ad49A990161b1e185F96EeFEB31a3307200,3
0x76d0e3aF2B10f392c744f36b1887ed570405e1F3,2
0x73Dc9050476aCc1D77d6ab74275097185B5ff758,0
0x36FCCC07514716534102ca6cEab2942b0A90Ef51,200189829053
0x2C67951A0609fa56F4D500DE6a9457114a392639,0
0x5B20a13ee423b4f622D0FAD22199AA7f69914416,0
0x7212310f6959711b1DC4e08095A4122CD06f2B9f,0
0x090E1Fdc0CB866317751F0621884a203a8d797aa,6
0x2e2de5D2ECf623465e00c65Aeb0858307900d284,1
0xbB754128C080b3CC39aA4cf09FE4B9BA6B54f13E,3
0x6de96fe55924AF3042f218845a39FDc77d6c25fe,7
0xC1E549320f048D8149d5B0cB9Cb268dA59f1F2aD,5
0x70ef83BD2224051F5f6Eda4295F8B391A6c48AcB,0
0xD5e94db07aD9c2c14C02dA82956e3C00D6a8e09f,0
0xd7510c55745dF5F7ab75A8Cd7F4ed1D8aeD04A01,2
0x9A24FA48dB540bEc59d4D48df5ABc77031ffC28d,1
0x09e0c3A6912001Bb33fBAC8Ff9bd5cc0CfF1429D,0
0x7B3679387F06713b741a45171a6d5014Bd0a5ffe,3
0x066fCEc18f98c7c2786310d3e81c64800CEf7d15,1
0x9DD64F466e1e94150F8B4A5B4ce4Ba53d13169eF,5
0xe8976fF7Dc32a1690f5dA328059158983DeA38B0,5
0x4e880933AAa461a5FbD0D499f1e142D78f77c8eA,4
0x36ab674a2DD1EB91C1257995dCcCd22646FB4541,0
0x81626dc242e47b14D9f2206E09d9A3B0d2A2Bb2B,0
0x6c55F9e3125a6748529Fbb3dC2D8870A657afDeF,1
0x1CdAd1b38245b628797ABD7c60311559FD85ab6D,3
0x598C5E19a132a5c433a80C908f05D87bFDaAC4ae,0
0x4314D6c3bC17A6Ca9f928AE873a0f800eBec0162,0
0x66D6C354fd6794e07F3AAE2ee4c90cA7630BC63d,7
0x8de5469F7bf563Daa3284C60984f2C9215cef448,0
0x0a518E4490f2E89a705E0866A07A204119EA432f,0
0xCEaE4043D3d2E1E75E8a5FE16bAb7176Ea9d035C,505639084
0x899926De88c3BFD3342Da3fA2011109CDAd568D8,0
0xDf30C196542Fd4fc258dF782B7084486fa51ff63,5
0x71Ed77D0a7AeD172652923e25B792B83aee74994,7
0x6403584E4e70F97C8c241ACA1483BBd84C183d1e,0
0x038406554ab8179840B81a7716Cde701fecaaa58,4
0x8B7026DC260DC47637A4b0f9E1C660F65d5Eba2F,3
0xa770070F4B18Eb61A7Cc282da3Ea5d405b3abF4c,4
0x343aF67Ff2E730Bec550D60DfAE630E56284BB0c,41186479567
0xb1c5Ec4aac5dbA3B65511228819229C04cb5f4F3,0
0xc5d6E9cA11b1029Cee37C68f3Dc3A1BE93ab6fA4,7
0x93B4166Be325606ac1fB90FF7E8b2778288A9b0c,2302938511
0x7641D6f27DFD771DAA164B9Dc9Aa13A8ebe41ce1,0
0xC7c022BD85529bEd1b92DE4Ba847F3f4e8fd5CbF,4
0x4ED1AB20AEC5D67A3FEe0850303635afcdaE6bEB,0
